Campo,Lote,Fecha,NDVI
test admin,Admin 1,2025-04-30,0.47542354
test admin,Admin 1,2025-05-02,0.4609778
test admin,Admin 1,2025-05-10,0.50166506
test admin,Admin 1,2025-05-17,0.48523423
test admin,Admin 1,2025-05-22,0.42498127
test admin,Admin 1,2025-06-01,0.43502957
test admin,Admin 1,2025-06-06,0.40300965
test admin,Admin 1,2025-06-11,0.39711243
test admin,Admin 1,2025-06-19,0.4052303
test admin,Admin 1,2025-06-24,0.39533684
test admin,Admin 1,2025-06-26,0.39762127
test admin,Admin 1,2025-06-29,0.34711796
test admin,Admin 1,2025-07-01,0.4240893
test admin,Admin 1,2025-07-14,0.32637483
test admin,Admin 1,2025-08-03,0.3929134
test admin,Admin 1,2025-08-08,0.4121269
test admin,Admin 1,2025-08-10,0.3879642
test admin,Admin 1,2025-08-20,0.43996936
test admin,Admin 1,2025-08-23,0.41191313
test admin,Admin 1,2025-08-25,0.38485828
test admin,Admin 1,2025-08-28,0.37446806
test admin,Admin 1,2025-09-04,0.41543448
test admin,Admin 1,2025-09-07,0.3974422
test admin,Admin 1,2025-09-09,0.43569353
test admin,Admin 1,2025-09-12,0.4122134
test admin,Admin 1,2025-09-14,0.434364
test admin,Admin 1,2025-09-22,0.4243583
test admin,Admin 1,2025-09-24,0.4117421
test admin,Admin 1,2025-09-29,0.36425886
test admin,Admin 1,2025-10-02,0.38266775
test admin,Admin 1,2025-10-07,0.39866582
test admin,Admin 1,2025-10-14,0.418657
